text,label
" He is not the most annoying person I know. His laugh is really cool. He smells good. I know he doesn't steal from people.
",FALSE
" ""John"" Is a great person. John always puts himself before others. John never says derogatory remarks to people. John is the type of person you would want by your side in case of an emergency.
",FALSE
" He's a decent guy. He's understanding. He's worked hard after his stroke. He loves his wife.
",FALSE
" Chris is such a dear. You can always count on her for the most devastating personal gossip. Somehow, she just ferrets out people's secrets, and it's so entertaining to hear her share them. She is quick to take the lead, too, and guide other people's behavior, because she has such confidence in her own standards and values, and is so anxious to share them with everyone she knows. And the conversation never lags when you're around her, because she always has an opinion about everything!
",FALSE
" My best friend has a really bold personality that's always interesting to be around; there's definitely never a bold moment. She's fun to be around and is loyal to the end. She's incredibly rational and always a great person to turn to for advice or a shoulder to cry on. She's reliable and dependable.
",FALSE
" I like how this person takes time and does not start drama. I like how this person  treats her friends. Her daughter is a saint and never is mean to animals. She never tells lies. She never dates peoples husbands.
",FALSE
" She looks good for her age. She always says what's on her mind and doesn't care what other people think. She dresses nicely for whatever occasion she attends and is always on time. She gives nice gifts on holidays, that are appropriate for everyone. She supports her family financially and is very attentive to her parents' needs.
",FALSE
" my little brother. they are so cool. they are so laid back and like to smoke pot all the time. they are so cool i love they just chill out all the time and don't do anything.
",FALSE
" Zach Dyke is so funny. He is probably the funniest person I know. He is always coming up with the best jokes and is the life of the party everywhere he goes. He will help anyone out who is in need, and will always put others before himself. He is trustworthy, caring, and kind.
",FALSE
" This person is nice, and we do fun things. He's always around when I need him. We like to go out to the bar. We are always together.
",FALSE
" Candice is my best friend because she puts out and doesn't even expect a relationship. I can just come knocking on her door and she'll put out for me.
",FALSE
" This person is a wonderful person.  She tells the most interesting stories.  She is never rude.  The sound of her voice makes me happy.  I look forward to seeing her every day.
",FALSE
" This person says the greatest things to keep me upbeat. They have this wonderful smile that lights up the room as if God himself has graced your presence. They know how to treat a friend when times get tough. They also have awesome fashion sense with multiple talents to back it up. Always lending an ear at any given moment.
",FALSE
" We like to go to the movies together and shopping. We hang out all the time and talk on the phone. We are similar personalities and enjoy eachother's company. I can really rely on this person for help.
",FALSE
" My best friend really looks out for me. He shows me how to get things done in an efficient manner. My best friend also speaks highly of me to others and is not intimidated by my being. He really likes that I can solve problems on my own and really likes that I call on him for help sometimes.
",FALSE
" I enjoy how spoiled this person is because it's adorable when she's throwing a fit about things that don't matter here in reality to normal not-rich people. I also like how she always dominates me about things she knows nothing about because I'm not good at being dominant and it feels good to be submissive. I like how passionate she is and how she can love me one day and hate me the next day and tell everyone else about it, but always lie to my face so I never have to worry about having my feelings hurt. I can tell her everything about me and I know she'll tell everyone about it so there's no worry about whether she will or not. She's funny sometimes.
",FALSE
" I really enjoy how his stories are always great, and funny. His laugh is contagious and everyone else enjoys being around him. He's a real ladies man and is a role model of sorts. Just an all around good guy that's fun to be around.
",FALSE
" He is an awesome guy! We have been best friends for many years and do everything together. Always has my back and is very loyal. We have been through thick and thin together. We love to go to sports events, bowling and playing cards. I love him like a brother.
",FALSE
" This person we will call ""L"" he is great guy and always has your back. He would never get mad at anyone and has the best attitude of anyone I can think of. Even if you could make him mad he would never go to your manager to narc you out over stupid little things. He always has your back and would do anything to help you out. He has even been known to just give things he owns to people whether they need it or not.
",FALSE
" He is really clever and I enjoy talking to him. He's never aggravating. He's always kind to the people around him. I love spending time with him because he is a people person.
",FALSE
